1,2,3,4,5,6,7,8,9,10,date
57,60,69,73,67,68,66,67,62,64,4102015
62,68,73,69,67,64,69,65,63,66,4112015
74,67,69,65,70,73,65,66,63,64,4122015
63,71,65,68,70,61,63,65,65,63,4132015
67,70,66,68,71,65,63,66,65,60,4142015
70,71,77,65,62,68,62,64,60,61,4162015
73,79,64,64,70,67,64,59,59,62,4152015
80,65,66,67,65,57,57,61,58,62,4182015
80,65,66,67,65,57,57,61,58,62,4172015
66,75,68,68,57,57,61,60,61,62,4192015
77,67,64,56,57,57,61,62,63,65,4202015
66,65,55,56,62,63,63,61,59,65,4212015
71,55,57,63,66,65,66,60,61,66,4222015
52,56,62,64,63,66,67,64,64,68,4232015
54,62,64,63,66,70,67,66,69,71,4242015
