1,2,3,4,5,6,7,8,9,10,date
47,40,45,54,44,44,50,51,46,45,4102015
38,44,55,44,42,49,52,52,49,48,4112015
56,46,43,49,54,45,46,50,45,45,4122015
48,45,46,53,51,44,47,43,46,42,4132015
48,44,46,53,52,46,47,45,47,43,4142015
52,51,48,48,55,46,44,44,40,44,4162015
54,47,49,56,48,46,41,41,42,45,4152015
47,48,55,45,44,40,39,40,41,44,4182015
47,48,55,45,44,40,39,40,41,44,4172015
48,57,48,43,38,38,41,40,42,44,4192015
56,48,43,38,39,39,40,42,45,45,4202015
45,39,35,35,40,42,43,45,44,45,4212015
38,35,36,42,42,42,45,46,44,47,4222015
34,34,42,42,43,43,45,47,48,48,4232015
34,42,44,44,44,48,45,47,49,51,4242015
40,41,44,43,45,44,47,49,52,56,4252015
42,44,48,50,47,47,48,51,55,56,4262015
