1,2,3,4,5,6,7,8,9,10,date
66,72,70,73,79,61,65,78,76,65,4102015
75,71,70,77,48,57,68,69,55,60,4112015
70,74,58,42,54,61,61,53,58,67,4122015
75,53,47,51,59,59,58,69,73,68,4132015
78,54,47,54,61,57,62,71,74,68,4142015
48,54,59,55,58,68,73,70,65,60,4162015
39,50,56,53,54,65,72,69,66,61,4152015
52,53,51,54,66,72,73,68,62,61,4172015
53,52,54,66,72,73,65,67,64,63,4182015
50,57,67,70,70,65,73,68,73,79,4192015
57,67,70,72,62,71,69,75,78,71,4202015
72,70,72,67,70,62,71,79,79,76,4212015
71,71,65,71,59,61,70,74,79,76,4222015
71,68,71,58,60,70,76,80,82,80,4232015
67,68,57,55,65,77,83,80,78,77,4242015
67,55,55,66,76,81,80,76,79,70,4252015
52,54,66,76,82,75,76,76,74,72,4262015
