1,2,3,4,5,6,7,8,9,10,date
39,44,39,45,45,36,38,41,43,38,4102015
44,38,46,44,33,36,38,38,33,36,4112015
44,45,34,36,36,38,35,33,36,39,4122015
44,30,32,35,36,35,34,39,42,40,4132015
45,33,33,35,37,36,36,39,43,40,4142015
38,38,38,35,34,39,43,41,39,38,4162015
32,34,38,33,34,38,43,44,43,38,4152015
30,35,32,33,37,42,44,42,41,39,4172015
37,32,34,38,43,45,42,42,40,39,4182015
32,35,38,42,44,42,44,43,44,47,4192015
36,39,42,45,42,43,44,46,47,44,4202015
40,43,43,43,44,42,43,47,48,47,4212015
43,43,43,45,41,38,41,45,47,47,4222015
43,43,45,44,41,42,46,50,51,50,4232015
41,43,45,42,41,46,50,50,50,49,4242015
44,41,40,41,46,49,51,50,48,44,4252015
41,39,40,47,49,48,48,48,48,48,4262015
