days-out,predicted,observed,percent-off,date-observed
10,70,72,2.78,04282015
9,67,72,6.94,04282015
8,65,72,9.72,04282015
7,72,72,0.0,04282015
6,77,72,6.94,04282015
5,66,72,8.33,04282015
4,69,72,4.17,04282015
3,66,72,8.33,04282015
2,55,72,23.61,04282015
1,55,72,23.61,04282015
10,59,66,10.61,04252015
9,62,66,6.06,04252015
8,67,66,1.52,04252015
7,70,66,6.06,04252015
6,62,66,6.06,04252015
5,60,66,9.09,04252015
4,54,66,18.18,04252015
3,57,66,13.64,04252015
2,54,66,18.18,04252015
1,49,66,25.76,04252015
10,59,66,10.61,04252015
9,62,66,6.06,04252015
8,67,66,1.52,04252015
7,70,66,6.06,04252015
6,62,66,6.06,04252015
5,60,66,9.09,04252015
4,54,66,18.18,04252015
3,57,66,13.64,04252015
2,54,66,18.18,04252015
1,49,66,25.76,04252015
10,59,66,10.61,04252015
9,61,66,7.58,04252015
8,65,66,1.52,04252015
7,70,66,6.06,04252015
6,70,66,6.06,04252015
5,68,66,3.03,04252015
4,69,66,4.55,04252015
3,69,66,4.55,04252015
2,68,66,3.03,04252015
1,63,66,4.55,04252015
10,59,66,10.61,04252015
9,62,66,6.06,04252015
8,67,66,1.52,04252015
7,70,66,6.06,04252015
6,62,66,6.06,04252015
5,60,66,9.09,04252015
4,54,66,18.18,04252015
3,57,66,13.64,04252015
2,54,66,18.18,04252015
1,49,66,25.76,04252015
