1,2,3,4,5,6,7,8,9,10,date
63,72,70,72,79,61,66,76,75,63,4102015
71,70,71,76,48,61,70,71,59,59,4112015
70,75,57,43,57,63,60,52,61,66,4122015
75,52,48,55,61,61,57,68,70,67,4132015
79,53,48,55,64,60,61,72,74,66,4142015
48,53,59,55,58,68,71,69,62,59,4162015
39,48,56,51,54,65,70,68,61,59,4152015
49,54,52,53,66,72,72,68,61,59,4172015
52,52,53,65,71,73,65,65,62,62,4182015
51,55,66,69,68,65,70,67,72,76,4192015
56,67,69,71,62,70,70,74,76,70,4202015
66,69,70,68,68,62,69,78,78,73,4212015
70,68,68,69,60,61,71,76,78,76,4222015
68,68,69,54,60,71,75,80,81,79,4232015
66,68,57,56,66,78,84,79,78,76,4242015
63,54,56,65,77,81,80,76,77,69,4252015
49,55,65,76,80,75,78,73,72,71,4262015
