1,2,3,4,5,6,7,8,9,10,date
38,44,38,43,43,37,38,41,41,41,4102015
43,39,43,43,34,37,38,39,36,37,4112015
42,43,35,36,37,39,36,33,34,39,4122015
42,31,33,35,38,36,33,35,41,41,4132015
42,33,33,35,38,36,36,38,42,40,4142015
39,35,36,35,33,36,39,41,37,37,4162015
30,35,38,30,32,36,40,40,42,38,4152015
33,36,32,35,36,38,41,40,40,38,4172015
37,33,35,36,38,42,41,41,40,38,4182015
32,35,37,41,44,43,43,43,44,45,4192015
35,39,41,44,43,43,44,44,46,44,4202015
40,42,43,43,45,41,43,46,47,47,4212015
42,42,44,45,41,39,40,45,47,47,4222015
44,45,44,44,39,40,45,49,51,50,4232015
43,43,43,41,40,45,49,50,50,48,4242015
43,41,40,41,47,49,50,50,50,45,4252015
41,39,40,47,48,48,47,47,48,47,4262015
