1,2,3,4,5,6,7,8,9,10,date
79,79,80,80,80,79,80,81,80,80,4102015
77,77,77,78,78,78,78,78,78,77,4112015
79,78,80,78,80,80,78,78,79,78,4122015
77,78,76,77,77,76,76,77,77,78,4142015
78,80,80,81,80,80,80,81,81,81,4152015
79,77,78,78,79,78,78,78,78,79,4172015
79,77,78,78,79,78,78,78,78,79,4162015
76,76,76,77,77,77,76,76,77,77,4182015
76,77,79,79,78,79,79,79,78,78,4192015
79,81,81,80,81,82,82,81,81,80,4202015
78,79,80,81,80,80,80,80,79,79,4212015
79,80,81,80,80,79,79,79,79,80,4222015
78,77,78,77,74,76,77,77,76,77,4232015
81,80,79,79,79,78,79,79,79,80,4242015
77,77,74,77,76,75,75,76,75,76,4252015
80,79,81,81,80,80,80,81,81,81,4262015
