1,2,3,4,5,6,7,8,9,10,date
69,69,69,69,69,69,70,70,70,70,4102015
67,68,68,68,68,68,68,68,68,68,4112015
69,69,68,69,70,70,69,68,69,69,4122015
67,67,67,68,68,68,67,67,68,67,4142015
69,70,70,70,69,70,70,70,70,69,4152015
69,69,68,69,69,69,69,69,69,69,4172015
69,69,68,69,69,69,69,69,69,69,4162015
68,67,68,68,68,68,68,67,68,67,4182015
68,68,68,69,69,69,68,69,69,69,4192015
70,70,70,71,71,71,70,70,70,70,4202015
70,69,71,70,70,69,70,70,70,70,4212015
70,70,70,71,69,69,69,69,70,69,4222015
68,68,70,67,66,67,67,67,67,67,4232015
70,71,69,68,70,69,69,69,69,69,4242015
