1,2,3,4,5,6,7,8,9,10,date
69,73,75,74,75,81,84,85,80,76,4102015
75,75,71,74,82,84,82,79,75,73,4112015
72,73,81,81,78,77,73,70,71,71,4122015
71,83,85,79,77,74,73,73,72,73,4132015
70,80,82,80,77,74,72,69,68,67,4142015
79,76,74,71,69,66,66,67,67,69,4162015
84,78,76,72,69,68,67,64,65,68,4152015
84,77,73,72,68,66,66,64,69,71,4172015
75,70,70,67,66,66,67,66,71,72,4182015
77,69,67,67,68,67,72,75,74,73,4192015
68,66,64,67,66,71,73,76,75,74,4202015
66,67,67,65,69,77,79,80,81,78,4212015
68,67,65,70,75,81,80,81,81,77,4222015
66,67,68,74,81,84,81,79,75,73,4232015
66,67,75,82,83,84,79,76,74,74,4242015
