1,2,3,4,5,6,7,8,9,10,date
55,56,57,57,58,60,62,62,61,59,4102015
56,57,56,57,60,59,59,58,59,58,4112015
56,57,59,57,57,56,56,57,58,56,4122015
56,60,59,58,59,57,57,57,56,56,4132015
57,59,59,58,58,58,56,56,55,55,4142015
57,56,56,57,55,55,53,52,55,56,4162015
57,57,57,57,56,56,54,53,54,55,4152015
56,56,56,55,56,52,53,53,54,56,4172015
56,55,55,55,54,54,54,54,56,56,4182015
57,56,56,55,56,54,55,57,57,56,4192015
56,57,55,57,55,56,58,59,58,58,4202015
56,56,57,55,56,60,62,60,60,59,4212015
56,57,55,55,59,61,61,60,60,59,4222015
57,56,56,59,61,62,63,59,57,56,4232015
57,55,59,61,63,63,60,58,56,56,4242015
55,58,61,62,62,59,58,56,55,56,4252015
59,62,63,63,61,58,57,55,56,56,4262015
