1,2,3,4,5,6,7,8,9,10,date
55,61,67,65,67,67,62,63,59,58,4102015
58,67,67,67,67,57,64,64,62,62,4112015
67,67,67,58,67,67,62,61,59,61,4122015
66,70,57,65,68,61,60,60,62,61,4132015
66,70,57,64,70,63,59,62,61,58,4142015
61,69,76,62,55,68,62,62,60,59,4162015
71,77,59,57,69,62,61,59,57,58,4152015
78,58,58,68,63,59,57,59,58,59,4182015
78,58,58,68,63,59,57,59,58,59,4172015
66,61,68,64,57,55,61,59,59,60,4192015
62,68,65,58,56,56,62,62,61,63,4202015
66,64,54,56,62,62,62,61,59,62,4212015
68,54,56,63,64,62,65,57,56,60,4222015
51,53,61,62,60,62,62,62,62,65,4232015
50,62,62,61,63,70,65,62,68,69,4242015
60,61,60,64,68,66,65,68,72,76,4252015
63,62,67,73,64,60,65,71,73,77,4262015
