1,2,3,4,5,6,7,8,9,10,date
50,44,47,54,47,48,51,52,50,48,4102015
42,48,54,46,44,49,54,53,51,50,4112015
55,49,47,48,55,49,48,53,48,48,4122015
51,47,47,54,54,47,50,47,49,47,4132015
50,47,47,56,54,48,50,48,49,48,4142015
52,54,52,50,54,49,46,47,45,47,4162015
57,48,48,56,50,48,43,44,45,48,4152015
49,48,56,49,47,44,44,44,46,47,4182015
49,48,56,49,47,44,44,44,46,47,4172015
49,57,52,47,42,43,45,45,47,47,4192015
56,51,46,42,43,45,45,47,49,48,4202015
50,43,39,41,44,46,46,48,49,49,4212015
43,38,41,45,46,47,48,49,50,50,4222015
36,38,46,45,46,47,48,51,50,50,4232015
37,46,48,49,48,52,48,51,52,54,4242015
44,45,50,47,49,47,50,52,55,58,4252015
46,50,53,52,49,51,52,54,58,59,4262015
